﻿﻿﻿﻿﻿﻿更新内容,更新日期
道具钱的bug修复。玩家1使用钱交换玩家2的道具时。玩家1获得道具时，玩家2会获得钱。,2026/3/21
增加功能：增加按钮。在水道桥、吾妻桥之外的格子上，可以消耗1行动点，丢弃1个道具。在水道桥、吾妻桥的格子上，可以不消耗行动点，丢弃道具。,2026/3/21
增加功能：开局可以输入中之人名称。,2026/3/21
增加店主DLC,2026-03-19
更新公告支持 多行数据的高度自适应展示。,2026/3/18
回合数计算逻辑：每个玩家行动结束后，回合数+1,2026/3/18
"“所有A类型角色获得了10点好感度优化提示词”，搜索当前场上存活的A类角色，举例，现在水上，川濑存活，则提示""水上，川濑获得了10点好感度""",2026/3/18
增加逻辑:如果使用时光机，选择格子移动棋子时，只能选择水洼之外的格子,2026/3/18
踩上水洼格子，使用雨水、时光机后，玩家的行动顺序会逆转。,2026/3/18
增加功能：每个玩家行动开始时，弹出弹窗，显示按钮[掷骰子]，点击按钮，进行一次不消耗行动点的扔骰子，点击后根据掷出的点数，棋子移动。然后弹窗关闭。,2026/3/18
注意：如果当前行动受停滞回合影响，显示按钮[不可移动]， 当前状态不可通过扔骰子移动棋子。点击后，关闭弹窗。,2026/3/18
"念珠道具作为被动道具。生效时，水上、薰之外的人会自动消耗1行动点；水上、薰消耗0行动点。如果被杀的人，行动点数量<应当被消耗的行动点，此时不生效，直接死""",2026/3/17
日志结构化存储。导出存档时，也能够导出日志；导入存档时，也能够导入日志,2026/3/17
增加更新公告,2026/3/17
修复时光机异常bug,2026/3/17
"增加逻辑。1、item.csv解析时要求至少载入30个道具。2、当道具池当前剩余数量<=0时，重新根据item.csv补充道具池的内容，即实现刷新道具池的功能""",2026/3/17
只有花泽和薰可以4行动点杀人,2026/3/17
"每个回合内，根据抽牌 (消耗1行动点)获得的道具，只能够在下个回合才能使用；其它途径，如通过钱交换等获得的道具，不受到这条规则影响。""",2026/3/17
当玩家使用钥匙串，钥匙串处于生效状态时。在玩家名称旁，增加一个钥匙图标；钥匙串失效后，移除该图标,2026/3/17
fix:优化取消使用道具时的行动点处理和日志显示。,2026/3/17
使用雨水及踩到水洼后，棋子的移动方向有逆转，但轮到的玩家回合没有逆转。 ,2026/3/17
对机械汤、 三千堂的停滞效果修改逻辑,2026/3/17
